10000,20000,30000,40000,50000,trial,p1,p2,q1,q2
1184,2099,3063,4094,5024,1,0.4,0.2,0.3,0.1
1101,2036,3019,3992,5011,2,0.4,0.2,0.3,0.1
1122,2049,3078,4099,5108,3,0.4,0.2,0.3,0.1
999,1820,2847,3718,4852,4,0.4,0.2,0.3,0.1
840,1765,2657,3556,4700,5,0.4,0.2,0.3,0.1
1047,2078,3067,4135,5278,6,0.4,0.2,0.3,0.1
1047,1886,2905,3801,4882,7,0.4,0.2,0.3,0.1
973,1900,2850,3844,4854,8,0.4,0.2,0.3,0.1
1066,2033,3203,4240,5288,9,0.4,0.2,0.3,0.1
3997,7917,11810,15848,19833,1,0.6,0.15,0.2,0.05
4097,8062,12091,16102,20237,2,0.6,0.15,0.2,0.05
3845,7820,11858,15863,19916,3,0.6,0.15,0.2,0.05
3962,7941,12075,16045,20137,4,0.6,0.15,0.2,0.05
3820,7816,11831,15953,19855,5,0.6,0.15,0.2,0.05
4029,8076,12040,15919,19860,6,0.6,0.15,0.2,0.05
3896,7948,11888,15916,20029,7,0.6,0.15,0.2,0.05
4150,8186,12207,16112,20197,8,0.6,0.15,0.2,0.05
4066,8112,12063,16031,20121,9,0.6,0.15,0.2,0.05
5248,10564,15958,21254,26603,1,0.6,0.3,0.07,0.03
5369,10703,15994,21440,26743,2,0.6,0.3,0.07,0.03
5291,10557,15839,21180,26456,3,0.6,0.3,0.07,0.03
5385,10731,16036,21149,26491,4,0.6,0.3,0.07,0.03
5325,10533,15820,21122,26371,5,0.6,0.3,0.07,0.03
5369,10687,15940,21231,26471,6,0.6,0.3,0.07,0.03
5285,10541,15821,21101,26415,7,0.6,0.3,0.07,0.03
5361,10822,16113,21379,26676,8,0.6,0.3,0.07,0.03
5299,10627,15998,21299,26580,9,0.6,0.3,0.07,0.03
